,createdAt,reward,reward,reward,reward,reward,reward,reward,reward,reward,reward
MABTree UCB,2024-10-19,717.7361111111112,717.7361111111112,717.7361111111112,717.7361111111112,717.7361111111112,717.7361111111112,717.7361111111112,717.7361111111112,717.7361111111112,717.7361111111112
MABTree UCB,2024-10-20,747.2857638888889,747.2857638888889,747.2857638888889,747.2857638888889,747.2857638888889,747.2857638888889,747.2857638888889,747.2857638888889,747.2857638888889,747.2857638888889
MABTree UCB,2024-10-21,776.7924305555556,776.7924305555556,776.7924305555556,776.7924305555556,776.7924305555556,776.7924305555556,776.7924305555556,776.7924305555556,776.7924305555556,776.7924305555556
MABTree UCB,2024-10-22,816.4504861111111,816.4504861111111,816.4504861111111,816.4504861111111,816.4504861111111,816.4504861111111,816.4504861111111,816.4504861111111,816.4504861111111,816.4504861111111
MABTree UCB,2024-10-23,855.5032638888889,855.5032638888889,855.5032638888889,855.5032638888889,855.5032638888889,855.5032638888889,855.5032638888889,855.5032638888889,855.5032638888889,855.5032638888889
MABTree UCB,2024-10-24,897.7749614197531,897.7749614197531,897.7749614197531,897.7749614197531,897.7749614197531,897.7749614197531,897.7749614197531,897.7749614197531,897.7749614197531,897.7749614197531
MABTree UCB,2024-10-25,937.0684490740741,937.0684490740741,937.0684490740741,937.0684490740741,937.0684490740741,937.0684490740741,937.0684490740741,937.0684490740741,937.0684490740741,937.0684490740741
MABTree UCB,2024-10-26,969.6215046296297,969.6215046296297,969.6215046296297,969.6215046296297,969.6215046296297,969.6215046296297,969.6215046296297,969.6215046296297,969.6215046296297,969.6215046296297
MABTree UCB,2024-10-27,1007.1988811728396,1007.1988811728396,1007.1988811728396,1007.1988811728396,1007.1988811728396,1007.1988811728396,1007.1988811728396,1007.1988811728396,1007.1988811728396,1007.1988811728396
MABTree UCB,2024-10-28,1037.8294367283952,1037.8294367283952,1037.8294367283952,1037.8294367283952,1037.8294367283952,1037.8294367283952,1037.8294367283952,1037.8294367283952,1037.8294367283952,1037.8294367283952
MABTree UCB,2024-10-29,1066.9058179012347,1066.9058179012347,1066.9058179012347,1066.9058179012347,1066.9058179012347,1066.9058179012347,1066.9058179012347,1066.9058179012347,1066.9058179012347,1066.9058179012347
MABTree UCB,2024-10-30,1102.2106790123457,1102.2106790123457,1102.2106790123457,1102.2106790123457,1102.2106790123457,1102.2106790123457,1102.2106790123457,1102.2106790123457,1102.2106790123457,1102.2106790123457
MABTree UCB,2024-10-31,1134.0676157407408,1134.0676157407408,1134.0676157407408,1134.0676157407408,1134.0676157407408,1134.0676157407408,1134.0676157407408,1134.0676157407408,1134.0676157407408,1134.0676157407408
MABTree UCB,2024-11-01,1154.924212962963,1154.924212962963,1154.924212962963,1154.924212962963,1154.924212962963,1154.924212962963,1154.924212962963,1154.924212962963,1154.924212962963,1154.924212962963
MABTree UCB,2024-11-02,1182.192476851852,1182.192476851852,1182.192476851852,1182.192476851852,1182.192476851852,1182.192476851852,1182.192476851852,1182.192476851852,1182.192476851852,1182.192476851852
MABTree UCB,2024-11-03,1216.2045061728397,1216.2045061728397,1216.2045061728397,1216.2045061728397,1216.2045061728397,1216.2045061728397,1216.2045061728397,1216.2045061728397,1216.2045061728397,1216.2045061728397
MABTree UCB,2024-11-04,1249.9454783950619,1249.9454783950619,1249.9454783950619,1249.9454783950619,1249.9454783950619,1249.9454783950619,1249.9454783950619,1249.9454783950619,1249.9454783950619,1249.9454783950619
MABTree UCB,2024-11-05,1293.6648533950618,1293.6648533950618,1293.6648533950618,1293.6648533950618,1293.6648533950618,1293.6648533950618,1293.6648533950618,1293.6648533950618,1293.6648533950618,1293.6648533950618
