,createdAt,reward,reward,reward,reward,reward,reward,reward,reward,reward,reward
MABTree ε-greedy,2024-11-09,1665.643982426304,1666.9988876291256,1684.2706809019908,1695.0491334404132,1701.447249622071,1713.082540627362,1722.0353513164525,1733.7755760267066,1750.8450636180398,1725.0277111678008
MABTree ε-greedy,2024-11-10,1705.5270323129255,1711.0116654069034,1726.4151253464352,1735.7858695515245,1748.3014162887378,1752.4658739606955,1769.2714624275636,1775.7092268203573,1789.4299346497858,1763.5738917233564
MABTree ε-greedy,2024-11-11,1753.0457823129254,1760.6246614386494,1780.5005420131017,1784.9185778848578,1797.1869023998488,1799.1130267384733,1822.2866013164526,1825.6700700743256,1840.4727223481984,1817.948197278912
MABTree ε-greedy,2024-11-12,1812.4540462018144,1824.0340364386493,1838.2460975686572,1848.5596195515245,1854.774124622071,1861.792560468632,1879.0487540942304,1883.3128478521035,1904.1536292202065,1883.3215306122452
MABTree ε-greedy,2024-11-13,1870.0624489795923,1884.120841994205,1897.434986457546,1906.725938995969,1911.214749622071,1914.62969340514,1942.007781872008,1930.8584188397579,1964.8737681090954,1945.5888917233563
MABTree ε-greedy,2024-11-14,1930.4898100907035,1948.4648697719826,1960.3829031242128,1962.1566334404135,1972.4699579554042,1979.087054516251,2005.5134763164526,1989.2741132842023,2031.5362681090953,2012.637919501134
MABTree ε-greedy,2024-11-15,1970.9384708049893,1994.7525384227763,2002.684738441673,2009.3812862181912,2019.4951266061978,2018.844842214664,2052.228684649786,2032.2959882842022,2072.005643109095,2051.7109056122454
MABTree ε-greedy,2024-11-16,2014.0141652494337,2047.7449689783318,2050.8854328861175,2063.3102643927946,2065.423747637944,2071.208949357521,2094.4146072688336,2076.6733493953134,2119.9163375535395,2099.1682667233563
MABTree ε-greedy,2024-11-17,2073.8556434240368,2102.6279054862684,2109.4849666162763,2114.5809092340646,2128.2423289871504,2127.129435468632,2153.546204491056,2133.2105716175356,2179.1957026329046,2157.1064115646263
MABTree ε-greedy,2024-11-18,2134.563282312926,2153.911933264046,2164.9370499496094,2165.8675064562867,2180.4539361300076,2178.514157690854,2208.3497461577226,2186.819262093726,2229.9760652872255,2217.121064342404
MABTree ε-greedy,2024-11-19,2189.069879535148,2219.011863819602,2216.888022171832,2230.2757703451757,2241.978095080625,2236.086379913076,2276.095946554548,2247.945303760393,2291.14925973167,2274.779328231293
MABTree ε-greedy,2024-11-20,2245.779879535148,2269.036466994205,2277.1285777273874,2285.097992567398,2304.7519839695137,2290.6324910241874,2334.2015021101033,2309.1017323318215,2345.55925973167,2323.31599489796
MABTree ε-greedy,2024-11-21,2299.4709212018147,2328.7344035021415,2340.5313555051653,2342.3879231229535,2359.0613589695135,2342.8186021352985,2390.385946554548,2362.978885109599,2399.75109504913,2377.3375921201823
MABTree ε-greedy,2024-11-22,2351.4579505228025,2391.5147661564624,2395.8556610607206,2397.1511175673977,2417.8801089695135,2399.843532690854,2451.9686548878813,2420.5044505857895,2464.3254006046855,2438.088633786849
MABTree ε-greedy,2024-11-23,2396.8294783005804,2428.8980994897956,2434.383369394054,2438.7393120118422,2465.7960811917355,2440.537907690854,2499.349696554548,2467.6134287603927,2506.521997826908,2485.5990504535157
MABTree ε-greedy,2024-11-24,2448.003684649787,2478.5997661564625,2486.2417027273873,2491.730581853112,2518.894414525069,2491.1178963529856,2549.6635854434367,2513.792317649282,2562.28668036659,2531.055399659865
MABTree ε-greedy,2024-11-25,2495.0977124275646,2520.459835600907,2520.4563158226256,2536.7639151864455,2562.9156744457036,2535.0246324640966,2587.81879377677,2552.404688681028,2605.229468065003,2566.690568310659
MABTree ε-greedy,2024-11-26,2559.5192402053426,2581.0757383786845,2584.716663044848,2606.286633440414,2626.603868890148,2596.437826908541,2654.1496965545475,2614.250097631645,2669.733025163768,2636.17980442177
MABTree ε-greedy,2024-11-27,2608.857492756363,2630.0192106009067,2629.5075812547243,2657.4425362181914,2677.3823411123703,2643.8770630196523,2698.836502110103,2661.5393337427563,2723.3147612748794,2685.6912627551033
MABTree ε-greedy,2024-11-28,2667.3279292642997,2686.4700042517,2681.776628873772,2712.6196393927944,2741.254166509196,2707.513174130763,2760.1837243323253,2724.4086547304105,2781.406427941546,2743.560707199548
MABTree ε-greedy,2024-11-29,2723.374040375411,2738.010282029478,2742.1738510959945,2772.839083837239,2802.3388490488783,2767.5701185752077,2816.378406872008,2781.338099174855,2834.409205719324,2799.6734849773256
MABTree ε-greedy,2024-11-30,2767.298415375411,2780.223625283446,2781.8454483182168,2814.4079032816835,2853.488501826656,2809.4597713529856,2865.7361152053413,2821.1770376669183,2876.2870331002764,2843.018971088437
